Solution:
Objective value = 13317.0

Dish            Hour            Requirement    Prepare         Inventory       Waste           Unfilled        Sold            
butter chicken  13.00           0.00            0.00            6.00            7.00            0.00            0.00            
mutton          5.00            8.00            10.00           0.00            0.00            0.00            8.00            
mutton          6.00            8.00            10.00           2.00            0.00            0.00            8.00            
mutton          7.00            3.00            0.00            4.00            0.00            0.00            3.00            
mutton          8.00            8.00            10.00           1.00            0.00            0.00            8.00            
mutton          9.00            10.00           10.00           3.00            0.00            0.00            10.00           
mutton          10.00           2.00            0.00            3.00            0.00            0.00            2.00            
mutton          11.00           8.00            10.00           1.00            2.00            0.00            8.00            
mutton          12.00           4.00            10.00           1.00            4.00            0.00            4.00            
mutton          13.00           3.00            0.00            3.00            3.00            0.00            3.00            
butter Naan     5.00            0.00            0.00            0.00            0.00            0.00            0.00            
butter Naan     6.00            4.00            0.00            0.00            0.00            4.00            0.00            
butter Naan     7.00            3.00            10.00           0.00            0.00            0.00            3.00            
butter Naan     8.00            6.00            0.00            7.00            0.00            0.00            6.00            
butter Naan     9.00            9.00            10.00           1.00            0.00            0.00            9.00            
butter Naan     10.00           8.00            10.00           2.00            0.00            0.00            8.00            
butter Naan     11.00           0.00            0.00            4.00            0.00            0.00            0.00            
butter Naan     12.00           8.00            20.00           4.00            7.00            0.00            8.00            
butter Naan     13.00           5.00            0.00            9.00            1.00            0.00            5.00            
ice cream       5.00            9.00            10.00           -0.00           -0.00           0.00            9.00            
ice cream       6.00            0.00            0.00            1.00            -0.00           0.00            0.00            
ice cream       7.00            9.00            10.00           1.00            -0.00           0.00            9.00            
ice cream       8.00            6.00            10.00           2.00            -0.00           0.00            6.00            
ice cream       9.00            5.00            0.00            6.00            1.00            0.00            5.00            
ice cream       10.00           3.00            10.00           -0.00           1.00            0.00            3.00            
ice cream       11.00           1.00            0.00            6.00            3.00            0.00            1.00            
ice cream       12.00           8.00            20.00           2.00            7.00            0.00            8.00            
ice cream       13.00           0.00            0.00            7.00            3.00            0.00            0.00            
